index,timestamp,location
2,2014-02-01 00:14:10.132878+01,"[41.9033913036255, 12.4876087503095]"
2,2014-02-01 01:14:53.440003+01,"[41.8999142436576, 12.4441906822934]"
2,2014-02-01 01:52:19.7449+01,"[41.8959594244013, 12.4496450994481]"
2,2014-02-01 02:58:57.352827+01,"[41.8824816421777, 12.454844364531]"
2,2014-02-01 04:42:58.23288+01,"[41.9077406913423, 12.4910772764437]"
2,2014-02-01 21:42:43.685802+01,"[41.9053566960219, 12.4493586509094]"
2,2014-02-01 21:58:53.645706+01,"[41.9031474155762, 12.4867018941079]"
2,2014-02-01 23:40:25.264024+01,"[41.9127874299986, 12.4929061846492]"
2,2014-02-02 04:58:28.729974+01,"[41.9126299945405, 12.4845480461226]"
2,2014-02-02 05:19:42.090741+01,"[41.9129688470329, 12.4502509292558]"
2,2014-02-02 05:46:09.262083+01,"[41.8987801994345, 12.4965799282943]"
2,2014-02-02 20:23:13.802004+01,"[41.9082612036831, 12.4930665527892]"
2,2014-02-02 20:39:30.593499+01,"[41.8901796239795, 12.474215887851]"
2,2014-02-02 20:55:01.310859+01,"[41.9064149569306, 12.4902567957721]"
2,2014-02-03 00:05:18.084121+01,"[41.9259153944417, 12.456770465124]"
2,2014-02-03 21:55:47.875597+01,"[41.9041764504683, 12.4486296173438]"
2,2014-02-03 22:27:13.862683+01,"[41.9040431416107, 12.4887423533529]"
2,2014-02-03 22:39:59.690774+01,"[41.8913700672656, 12.5296984014016]"
2,2014-02-03 22:53:14.660843+01,"[41.9111958768734, 12.4969291635952]"
2,2014-02-04 01:31:54.51393+01,"[41.8985945430868, 12.4418248491772]"
3,2014-02-02 15:55:07.393646+01,"[41.9047349079671, 12.4947067712024]"
3,2014-02-02 16:06:15.190667+01,"[41.8959355957278, 12.4779235142506]"
3,2014-02-02 16:38:37.162458+01,"[41.9296061718472, 12.4720826984093]"
3,2014-02-02 18:16:58.099838+01,"[41.8815260172658, 12.4900152544687]"
3,2014-02-02 23:09:37.258097+01,"[41.8948238308027, 12.4777962126679]"
3,2014-02-03 16:12:55.781882+01,"[41.9058369724635, 12.4581755950629]"
3,2014-02-03 20:12:15.940535+01,"[41.9001438909181, 12.4880956949956]"
3,2014-02-04 18:07:43.139202+01,"[41.8955948199598, 12.4942060824981]"
3,2014-02-04 18:47:10.454473+01,"[41.8972917538511, 12.474118655913]"
3,2014-02-04 19:06:21.873128+01,"[41.9051264815279, 12.4981412005417]"
3,2014-02-04 19:26:51.354815+01,"[41.8921584266009, 12.480375169322]"
4,2014-02-03 13:44:04.763545+01,"[41.9051442238668, 12.4718180301871]"
4,2014-02-03 14:05:10.76383+01,"[41.9107327281802, 12.4922238867298]"
4,2014-02-03 15:18:43.161764+01,"[41.9210515817725, 12.4679898678396]"
4,2014-02-03 15:44:14.376814+01,"[41.9017721503445, 12.481386319134]"
4,2014-02-03 17:18:00.72552+01,"[41.9102855389857, 12.4998749612838]"
